Country Name,Country Code,Population
Aruba,ABW,106314.0
Afghanistan,AFG,38041754.0
Angola,AGO,31825295.0
Albania,ALB,2854191.0
Andorra,AND,77142.0
Arab World,ARB,427870270.0
United Arab Emirates,ARE,9770529.0
Argentina,ARG,44938712.0
Armenia,ARM,2957731.0
American Samoa,ASM,55312.0
Antigua and Barbuda,ATG,97118.0
Australia,AUS,25364307.0
Austria,AUT,8877067.0
Azerbaijan,AZE,10023318.0
Burundi,BDI,11530580.0
Belgium,BEL,11484055.0
Benin,BEN,11801151.0
Burkina Faso,BFA,20321378.0
Bangladesh,BGD,163046161.0
Bulgaria,BGR,6975761.0
Bahrain,BHR,1641172.0
"Bahamas, The",BHS,389482.0
Bosnia and Herzegovina,BIH,3301000.0
Belarus,BLR,9466856.0
Belize,BLZ,390353.0
Bermuda,BMU,63918.0
Bolivia,BOL,11513100.0
Brazil,BRA,211049527.0
Barbados,BRB,287025.0
Brunei Darussalam,BRN,433285.0
Bhutan,BTN,763092.0
Botswana,BWA,2303697.0
Central African Republic,CAF,4745185.0
Canada,CAN,37589262.0
Central Europe and the Baltics,CEB,102378579.0
Switzerland,CHE,8574832.0
Channel Islands,CHI,172259.0
Chile,CHL,18952038.0
China,CHN,1397715000.0
Cote d'Ivoire,CIV,25716544.0
Cameroon,CMR,25876380.0
"Congo, Dem. Rep.",COD,86790567.0
"Congo, Rep.",COG,5380508.0
Colombia,COL,50339443.0
Comoros,COM,850886.0
Cabo Verde,CPV,549935.0
Costa Rica,CRI,5047561.0
Caribbean small states,CSS,7401381.0
Cuba,CUB,11333483.0
Curacao,CUW,157538.0
Cayman Islands,CYM,64948.0
Cyprus,CYP,1198575.0
Czech Republic,CZE,10669709.0
Germany,DEU,83132799.0
Djibouti,DJI,973560.0
Dominica,DMA,71808.0
Denmark,DNK,5818553.0
Dominican Republic,DOM,10738958.0
Algeria,DZA,43053054.0
East Asia & Pacific (excluding high income),EAP,2093675040.0
Early-demographic dividend,EAR,3290290622.0
East Asia & Pacific,EAS,2340628292.0
Europe & Central Asia (excluding high income),ECA,399404587.0
Europe & Central Asia,ECS,921140092.0
Ecuador,ECU,17373662.0
"Egypt, Arab Rep.",EGY,100388073.0
Euro area,EMU,342597698.0
Eritrea,ERI,
Spain,ESP,47076781.0
Estonia,EST,1326590.0
Ethiopia,ETH,112078730.0
European Union,EUU,447512041.0
Fragile and conflict affected situations,FCS,760603096.0
Finland,FIN,5520314.0
Fiji,FJI,889953.0
France,FRA,67059887.0
Faroe Islands,FRO,48678.0
"Micronesia, Fed. Sts.",FSM,113815.0
Gabon,GAB,2172579.0
United Kingdom,GBR,66834405.0
Georgia,GEO,3720382.0
Ghana,GHA,30417856.0
Gibraltar,GIB,33701.0
Guinea,GIN,12771246.0
"Gambia, The",GMB,2347706.0
Guinea-Bissau,GNB,1920922.0
Equatorial Guinea,GNQ,1355986.0
Greece,GRC,10716322.0
Grenada,GRD,112003.0
Greenland,GRL,56225.0
Guatemala,GTM,16604026.0
Guam,GUM,167294.0
Guyana,GUY,782766.0
High income,HIC,1235852827.0
"Hong Kong SAR, China",HKG,7507400.0
Honduras,HND,9746117.0
Heavily indebted poor countries (HIPC),HPC,801708035.0
Croatia,HRV,4067500.0
Haiti,HTI,11263077.0
Hungary,HUN,9769949.0
IBRD only,IBD,4816235951.0
IDA & IBRD total,IBT,6486934851.0
IDA total,IDA,1670698900.0
IDA blend,IDB,561572202.0
Indonesia,IDN,270625568.0
IDA only,IDX,1109126698.0
Isle of Man,IMN,84584.0
India,IND,1366417754.0
Not classified,INX,
Ireland,IRL,4941444.0
"Iran, Islamic Rep.",IRN,82913906.0
Iraq,IRQ,39309783.0
Iceland,ISL,361313.0
Israel,ISR,9053300.0
Italy,ITA,60297396.0
Jamaica,JAM,2948279.0
Jordan,JOR,10101694.0
Japan,JPN,126264931.0
Kazakhstan,KAZ,18513930.0
Kenya,KEN,52573973.0
Kyrgyz Republic,KGZ,6456900.0
Cambodia,KHM,16486542.0
Kiribati,KIR,117606.0
St. Kitts and Nevis,KNA,52823.0
"Korea, Rep.",KOR,51709098.0
Kuwait,KWT,4207083.0
Latin America & Caribbean (excluding high income),LAC,613773128.0
Lao PDR,LAO,7169455.0
Lebanon,LBN,6855713.0
Liberia,LBR,4937374.0
Libya,LBY,6777452.0
St. Lucia,LCA,182790.0
Latin America & Caribbean,LCN,646430841.0
Least developed countries: UN classification,LDC,1033388876.0
Low income,LIC,668454965.0
Liechtenstein,LIE,38019.0
Sri Lanka,LKA,21803000.0
Lower middle income,LMC,2913363391.0
Low & middle income,LMY,6437681145.0
Lesotho,LSO,2125268.0
Late-demographic dividend,LTE,2298470832.0
Lithuania,LTU,2786844.0
Luxembourg,LUX,619896.0
Latvia,LVA,1912789.0
"Macao SAR, China",MAC,640445.0
St. Martin (French part),MAF,38002.0
Morocco,MAR,36471769.0
Monaco,MCO,38964.0
Moldova,MDA,2657637.0
Madagascar,MDG,26969307.0
Maldives,MDV,530953.0
Middle East & North Africa,MEA,456707404.0
Mexico,MEX,127575529.0
Marshall Islands,MHL,58791.0
Middle income,MIC,5769226180.0
North Macedonia,MKD,2083459.0
Mali,MLI,19658031.0
Malta,MLT,502653.0
Myanmar,MMR,54045420.0
Middle East & North Africa (excluding high income),MNA,389457086.0
Montenegro,MNE,622137.0
Mongolia,MNG,3225167.0
Northern Mariana Islands,MNP,57216.0
Mozambique,MOZ,30366036.0
Mauritania,MRT,4525696.0
Mauritius,MUS,1265711.0
Malawi,MWI,18628747.0
Malaysia,MYS,31949777.0
North America,NAC,365892703.0
Namibia,NAM,2494530.0
New Caledonia,NCL,287800.0
Niger,NER,23310715.0
Nigeria,NGA,200963599.0
Nicaragua,NIC,6545502.0
Netherlands,NLD,17332850.0
Norway,NOR,5347896.0
Nepal,NPL,28608710.0
Nauru,NRU,12581.0
New Zealand,NZL,4917000.0
OECD members,OED,1359963500.0
Oman,OMN,4974986.0
Other small states,OSS,31360407.0
Pakistan,PAK,216565318.0
Panama,PAN,4246439.0
Peru,PER,32510453.0
Philippines,PHL,108116615.0
Palau,PLW,18008.0
Papua New Guinea,PNG,8776109.0
Poland,POL,37970874.0
Pre-demographic dividend,PRE,944902749.0
Puerto Rico,PRI,3193694.0
"Korea, Dem. Peopleâ€™s Rep.",PRK,25666161.0
Portugal,PRT,10269417.0
Paraguay,PRY,7044636.0
West Bank and Gaza,PSE,4685306.0
Pacific island small states,PSS,2493696.0
Post-demographic dividend,PST,1112914457.0
French Polynesia,PYF,279287.0
Qatar,QAT,2832067.0
Romania,ROU,19356544.0
Russian Federation,RUS,144373535.0
Rwanda,RWA,12626950.0
South Asia,SAS,1835776742.0
Saudi Arabia,SAU,34268528.0
Sudan,SDN,42813238.0
Senegal,SEN,16296364.0
Singapore,SGP,5703569.0
Solomon Islands,SLB,669823.0
Sierra Leone,SLE,7813215.0
El Salvador,SLV,6453553.0
San Marino,SMR,33860.0
Somalia,SOM,15442905.0
Serbia,SRB,6944975.0
Sub-Saharan Africa (excluding high income),SSA,1105594562.0
South Sudan,SSD,11062113.0
Sub-Saharan Africa,SSF,1106957898.0
Small states,SST,41255484.0
Sao Tome and Principe,STP,215056.0
Suriname,SUR,581372.0
Slovak Republic,SVK,5454073.0
Slovenia,SVN,2087946.0
Sweden,SWE,10285453.0
Eswatini,SWZ,1148130.0
Sint Maarten (Dutch part),SXM,40733.0
Seychelles,SYC,97625.0
Syrian Arab Republic,SYR,17070135.0
Turks and Caicos Islands,TCA,38191.0
Chad,TCD,15946876.0
East Asia & Pacific (IDA & IBRD countries),TEA,2067984156.0
Europe & Central Asia (IDA & IBRD countries),TEC,460799505.0
Togo,TGO,8082366.0
Thailand,THA,69625582.0
Tajikistan,TJK,9321018.0
Turkmenistan,TKM,5942089.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,630644770.0
Timor-Leste,TLS,1293119.0
Middle East & North Africa (IDA & IBRD countries),TMN,384771780.0
Tonga,TON,104494.0
South Asia (IDA & IBRD),TSA,1835776742.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957898.0
Trinidad and Tobago,TTO,1394973.0
Tunisia,TUN,11694719.0
Turkey,TUR,83429615.0
Tuvalu,TUV,11646.0
Tanzania,TZA,58005463.0
Uganda,UGA,44269594.0
Ukraine,UKR,44385155.0
Upper middle income,UMC,2855862789.0
Uruguay,URY,3461734.0
United States,USA,328239523.0
Uzbekistan,UZB,33580650.0
St. Vincent and the Grenadines,VCT,110589.0
"Venezuela, RB",VEN,28515829.0
British Virgin Islands,VGB,30030.0
Virgin Islands (U.S.),VIR,106631.0
Vietnam,VNM,96462106.0
Vanuatu,VUT,299882.0
World,WLD,7673533972.0
Samoa,WSM,197097.0
Kosovo,XKX,1794248.0
"Yemen, Rep.",YEM,29161922.0
South Africa,ZAF,58558270.0
Zambia,ZMB,17861030.0
Zimbabwe,ZWE,14645468.0
